name,polarity,factual,domain
1010 WINS AM,Least Biased,High, https://1010wins.radio.com/
11 News - KKCO,Least Biased,High, https://www.nbc11news.com/
12 News KPNX,Least Biased,High, https://www.12news.com/
13 News - WIBW,Least Biased,High, https://www.wibw.com/
1440 Newsletter,Least Biased,High, https://join1440.com/
23WIFR News,Least Biased,High, https://www.wifr.com/
24/7 Wall St,Least Biased,High, https://247wallst.com/
24ur.com,Least Biased,Mostly Factual, https://www.24ur.com/
38 North,Least Biased,High, https://www.38north.org
680 News,Least Biased,High, https://www.680news.com/
9News - KUSA,Least Biased,High, https://www.9news.com/
ABC12/WJRT-TV,Least Biased,High, https://www.abc12.com/
ABC7 New York,Least Biased,High, https://abc7ny.com/
ABC7chicago.com,Least Biased,High, https://abc7chicago.com/
ABS-CBN,Least Biased,High, https://news.abs-cbn.com/
ActionNewsJax.com,Least Biased,High, https://www.actionnewsjax.com/
Ad Fontes Media,Least Biased,High, https://www.adfontesmedia.com/
Adweek,Least Biased,High, https://www.adweek.com/
Africa Check,Least Biased,Very High, https://africacheck.org
Africa News,Least Biased,Mostly Factual, https://www.africanews.com/
AgDaily,Least Biased,High, https://www.agdaily.com/
Agence France-Presse (AFP),Least Biased,High, https://www.afp.com/en/home
Agenzia Nazionale Stampa Associata (ANSA),Least Biased,High, http://www.ansa.it
Agerpres,Least Biased,High, https://www.agerpres.ro/english
AgWeb,Least Biased,High, https://www.agweb.com/
Air Force Times,Least Biased,High, https://www.airforcetimes.com/
Airwars,Least Biased,High, https://airwars.org/
Alabama Political Reporter,Least Biased,High, https://www.alreporter.com/
Alabama Today,Least Biased,High, https://altoday.com/
Albany Democrat-Herald,Least Biased,High, https://democratherald.com/
Algemeen Dagblad,Least Biased,High,
Alliance For Securing Democracy,Least Biased,High, https://securingdemocracy.gmfus.org/
Amarillo Globe-News,Least Biased,High, https://www.amarillo.com
American Heritage,Least Biased,High, https://www.americanheritage.com
American Military News,Least Biased,Mostly Factual, https://americanmilitarynews.com
American Press Institute (API),Least Biased,Very High, https://www.americanpressinstitute.org
AmoMama,Least Biased,Mostly Factual, https://news.amomama.com/
Anchorage Daily News,Least Biased,High, https://www.adn.com/
Anderson Independent Mail,Least Biased,High, https://www.independentmail.com/
Arc Digital,Least Biased,High, https://arcdigital.media/
Arirang,Least Biased,High, https://www.arirang.com/
Arizona Capitol Times,Least Biased,High, https://azcapitoltimes.com/
Army Times,Least Biased,High, https://www.armytimes.com
Ars Technica,Least Biased,High, https://arstechnica.com
Asheboro Courier-Tribune,Least Biased,High, https://www.courier-tribune.com/
Asia Times,Least Biased,High, https://www.asiatimes.com
Associated Press,Least Biased,Very High, https://apnews.com/
Atlas Obscura,Least Biased,High, https://www.atlasobscura.com/
azfamily.com,Least Biased,High, https://www.azfamily.com/
Ballotpedia,Least Biased,Very High, https://ballotpedia.org/Main_Page
Bangkok Post,Least Biased,High, http://www.bangkokpost.com/
Baxter Bulletin,Least Biased,High, https://www.baxterbulletin.com
Belleville News-Democrat,Least Biased,High, https://www.bnd.com/
Benzinga,Least Biased,High, https://www.benzinga.com/
BestLife,Least Biased,Mostly Factual, bestlifeonline.com
Better Government Association,Least Biased,High, https://www.bettergov.org/
Big News Network,Least Biased,Mostly Factual, https://www.bignewsnetwork.com
Big Think,Least Biased,High, https://bigthink.com/
Biloxi Sun Herald,Least Biased,High, http://sunherald.com
Bismarck Tribune,Least Biased,High, https://bismarcktribune.com/
Blasting News,Least Biased,High, https://us.blastingnews.com
Bleeping Computer,Least Biased,High, https://www.bleepingcomputer.com
BNO News,Least Biased,High, https://bnonews.com/
Bozeman Daily Chronicle,Least Biased,High, https://www.bozemandailychronicle.com/
Bring Me The News,Least Biased,High, https://bringmethenews.com/
Bullshido,Least Biased,High, https://www.bullshido.net/
Business2Community,Least Biased,High, https://www.business2community.com/
C-Span,Least Biased,Very High, https://www.c-span.org/
Canadian Public Affairs Channel (CPAC),Least Biased,High, https://www.cpac.ca/en/
Cape Cod Times,Least Biased,High, http://www.capecodtimes.com
Capitol Fax,Least Biased,High, https://capitolfax.com
Casper Star-Tribune,Least Biased,High, https://trib.com/
Castanet,Least Biased,High, https://www.castanet.net/
CBS Philly (KYW-TV),Least Biased,High, https://philadelphia.cbslocal.com/
Center for Democracy and Technology,Least Biased,High, https://cdt.org
Center for Responsive Politics,Least Biased,Very High, http://www.opensecrets.org/
Center for strategic and International studies,Least Biased,Very High, https://www.csis.org/
Channel News Asia - CNA,Least Biased,High, https://www.channelnewsasia.com/
Charity Navigator,Least Biased,Very High, https://www.charitynavigator.org/
Chinook Observer,Least Biased,High, https://www.chinookobserver.com
Christian Science Monitor,Least Biased,High, http://www.csmonitor.com/
Cinncinati Enquirer,Least Biased,High, https://www.cincinnati.com/
CNET,Least Biased,High, https://www.cnet.com/
Committee for Economic development,Least Biased,High, https://www.ced.org/
Committee to Protect Journalists,Least Biased,Very High, https://www.cpj.org/
Community Impact,Least Biased,High, https://communityimpact.com/
Concord Monitor,Least Biased,High, https://www.concordmonitor.com
Conflict News,Least Biased,High, http://www.conflict-news.com/
Congress.gov,Least Biased,Very High, https://www.congress.gov/
Congressional Budget Office (CBO),Least Biased,Very High, https://www.cbo.gov/
Constitution Daily,Least Biased,High, https://constitutioncenter.org
Consumer Reports,Least Biased,High, https://www.consumerreports.org
Consumerist,Least Biased,High, https://consumerist.com/
Cook Political Reports,Least Biased,High, https://cookpolitical.com/
coronavirus.gov,Least Biased,High, https://www.coronavirus.gov/
Corriere della Sera,Least Biased,High, https://www.corriere.it/
Council on Foreign Relations,Least Biased,High, https://www.cfr.org/
Countable News,Least Biased,High, https://www.countable.us
Courthouse News Service,Least Biased,High, https://www.courthousenews.com
Covid Tracking Project,Least Biased,High, https://covidtracking.com/
CP24,Least Biased,High, https://www.cp24.com/
Crains Detroit,Least Biased,High, https://www.crainsdetroit.com/
Crimeola,Least Biased,High, https://crimeola.com
CTV News,Least Biased,High, https://www.ctvnews.ca/
Curiosity.com,Least Biased,High, https://curiosity.com
D.C. Circuit Breaker,Least Biased,High, https://dccircuitbreaker.org
Daily Business Review,Least Biased,High, https://www.law.com/dailybusinessreview/
Daily Camera,Least Biased,High, https://www.dailycamera.com
Daily Journal (Missouri),Least Biased,High, https://dailyjournalonline.com
Daily Maverick,Least Biased,High, https://www.dailymaverick.co.za/
Daily Record,Least Biased,High, https://www.dailyrecord.com/
Darien Times,Least Biased,High, http://www.darientimes.com/
Dayton Daily News,Least Biased,High, https://www.daytondailynews.com
Defense News,Least Biased,High, https://www.defensenews.com
Defense One,Least Biased,High, https://www.defenseone.com/
Del Rio News-Herald,Least Biased,High, http://delrionewsherald.com
Des Moines Register,Least Biased,High, https://www.desmoinesregister.com/
Detik.com,Least Biased,Mostly Factual, www.detik.com/
DifferenceBetween.net,Least Biased,Very High, http://www.differencebetween.net
Digital Journal,Least Biased,High, http://www.digitaljournal.com
Doctors Without Borders,Least Biased,High, http://www.doctorswithoutborders.org
DPA German Press Agency,Least Biased,High, http://www.dpa-international.com/
Duluth News Tribune,Least Biased,High, https://www.duluthnewstribune.com
Eagle Tribune,Least Biased,High, https://www.eagletribune.com/
East Idaho News,Least Biased,High, https://www.eastidahonews.com/
Eau Claire Leader-Telegram,Least Biased,High, https://www.leadertelegram.com/
EJ Insight,Least Biased,High, http://www.ejinsight.com/
El Nuevo Dia,Least Biased,High, https://www.elnuevodia.com/english/
Erie Times-News,Least Biased,High, http://www.goerie.com
ERR News (Estonia Public Broadcasting),Least Biased,High, http://news.err.ee
Eurasia Review,Least Biased,High, https://www.eurasiareview.com/
Every CRS Report,Least Biased,Very High, https://www.everycrsreport.com/
FactCheck.org,Least Biased,Very High, https://www.factcheck.org/
FactsCan,Least Biased,Very High, http://factscan.ca/
Factwire News Agency,Least Biased,High, https://www.factwire.org/
Fair Observer,Least Biased,High, https://www.fairobserver.com
Fayetteville Observer,Least Biased,High, https://www.fayobserver.com/
Federal News Network,Least Biased,High, https://federalnewsnetwork.com/
Federal Times,Least Biased,High, https://www.federaltimes.com/
Financial Times,Least Biased,High, https://www.ft.com/
First Coast News,Least Biased,Mostly Factual, https://www.firstcoastnews.com/
First Draft News,Least Biased,High, https://firstdraftnews.org/
Florida Politics,Least Biased,High, https://floridapolitics.com/
Florida Times Union,Least Biased,High, https://www.jacksonville.com/
Foreign Affairs,Least Biased,High, https://www.foreignaffairs.com/
Foreign Policy,Least Biased,High, https://foreignpolicy.com/
Foster's Daily Democrat,Least Biased,High, https://www.fosters.com/
FourstatesHomepage.com,Least Biased,High, https://www.fourstateshomepage.com/
France 24,Least Biased,High, https://www.france24.com/en
Free Wheel Media,Least Biased,High, https://freewheelus.com
Full Fact UK,Least Biased,High, https://fullfact.org/
Gainesville Sun,Least Biased,High, https://www.gainesville.com
Gallup,Least Biased,Very High, https://news.gallup.com
GBTimes,Least Biased,Mixed, https://gbtimes.com
Gears of Biz,Least Biased,High, http://gearsofbiz.com/
Geek.com,Least Biased,High, https://www.geek.com
Global Integrity,Least Biased,High, https://www.globalintegrity.org/
Global Slavery Index,Least Biased,High, https://www.globalslaveryindex.org
Globe Gazette (Iowa),Least Biased,High, http://globegazette.com
GoodNewsNetwork,Least Biased,High, https://www.goodnewsnetwork.org/
Government Accountability Office (GAO),Least Biased,High, https://www.gao.gov
GovTrack,Least Biased,High, https://www.govtrack.us/
Great Falls Tribune,Least Biased,High, https://www.greatfallstribune.com
Green Bay Press-Gazette,Least Biased,High, https://www.greenbaypressgazette.com
Greenville News,Least Biased,High, https://www.greenvilleonline.com/
Ground News,Least Biased,Mostly Factual, https://ground.news/
Group of Thirty,Least Biased,High, https://group30.org/
Hanford Sentinel,Least Biased,High, https://hanfordsentinel.com
Harvard Business Review,Least Biased,High, https://hbr.org
Harvard Gazette,Least Biased,High, https://news.harvard.edu/
Healthcare Finance News,Least Biased,High, http://www.healthcarefinancenews.com/
Herald & Review,Least Biased,High, https://herald-review.com
Hoax Slayer,Least Biased,Very High, https://www.hoax-slayer.net/
Homeland Security News Wire,Least Biased,High, http://www.homelandsecuritynewswire.com
How Stuff Works,Least Biased,Very High, https://www.howstuffworks.com/
I24 News,Least Biased,High, https://www.i24news.tv
Icitizen,Least Biased,High, https://icitizen.com
Idaho Statesman,Least Biased,High, http://www.idahostatesman.com
iMediaEthics,Least Biased,High, https://www.imediaethics.org
Inc. Magazine,Least Biased,High, https://www.inc.com/
Independent Journal Review,Least Biased,Mostly Factual, https://ijr.org/
Independent Record (Montana),Least Biased,High, https://helenair.com/
Independent Voter Network (IVN),Least Biased,High, https://ivn.us/
IndexMundi,Least Biased,High, https://www.indexmundi.com/
Indianapolis Star,Least Biased,High, https://www.indystar.com/
Inland Valley Bulletin,Least Biased,High, https://www.dailybulletin.com
Institute for Women's Policy Research (IWPR),Least Biased,Very High, https://iwpr.org
International Consortium of Investigative Journalists,Least Biased,Very High, https://www.icij.org/
International Energy Agency,Least Biased,High, https://www.iea.org/
International Organization,Least Biased,Very High, https://www.cambridge.org/core/journals/international-organization
International Press Institute,Least Biased,Very High, https://ipi.media/
International Rescue Committee,Least Biased,High, https://www.rescue.org/
Investigative Reporters and Editors,Least Biased,Very High, https://www.ire.org/
Investing.com,Least Biased,Mixed, https://www.investing.com/
Investopedia,Least Biased,High, https://www.investopedia.com
