name,polarity,factual,domain
1600 Daily,Left-Center,Mostly Factual, https://www.whitehouse.gov/1600daily
604 Now,Left-Center,Mostly Factual, https://604now.com/
972 Magazine,Left-Center,High, https://972mag.com/
ABC News,Left-Center,High, https://abcnews.go.com
ABC News Australia,Left-Center,High, https://www.abc.net.au
ABC11 Eyewitness News,Left-Center,High, https://abc11.com/
Above the Law,Left-Center,High, https://abovethelaw.com/
AceShowbiz (ASB),Left-Center,Mixed, https://www.aceshowbiz.com/
ACLU,Left-Center,Mixed, https://www.aclu.org/
Aeon,Left-Center,High, https://aeon.co/
Affinity Magazine,Left-Center,Mixed, http://affinitymagazine.us/
African Arguments,Left-Center,High, https://africanarguments.org/
Ahval News,Left-Center,Mixed, https://ahvalnews.com/
Akron Beacon Journal,Left-Center,High, https://www.beaconjournal.com/
Al Jazeera,Left-Center,Mixed, https://www.aljazeera.com/
Al Monitor,Left-Center,High, https://www.al-monitor.com/
Al-Sura,Left-Center,Mixed, https://al-sura.com
Alan Guttmacher Institute,Left-Center,High, https://www.guttmacher.org/
Albany Times-Union,Left-Center,High, https://www.timesunion.com/
Alberta Views,Left-Center,High, https://albertaviews.ca
AllGov,Left-Center,High, http://www.allgov.com
Allied Progress,Left-Center,High, https://alliedprogress.org
AM New York,Left-Center,High, https://www.amny.com/
America Magazine,Left-Center,High, https://www.americamagazine.org/
American Immigration Council,Left-Center,High, https://www.americanimmigrationcouncil.org
American Public Media,Left-Center,High,
American Purpose,Left-Center,High, https://www.americanpurpose.com/
Amnesty International,Left-Center,High, https://www.amnesty.org/en/
Anniston Star,Left-Center,High, https://www.annistonstar.com
Anthropocene Magazine,Left-Center,High, https://www.anthropocenemagazine.org/
Anti-Defamation League (ADL),Left-Center,High, https://www.adl.org
AOL,Left-Center,High, https://www.aol.com/
APM Reports,Left-Center,High, https://www.apmreports.org/
Ara News,Left-Center,High, http://aranews.net/
Arizona Daily Star,Left-Center,High, https://tucson.com/
Arizona Daily Sun,Left-Center,High, https://azdailysun.com
Arizona Republic,Left-Center,High, https://www.azcentral.com
Arkansas Times,Left-Center,High, https://www.arktimes.com
Arms Control Association,Left-Center,High, https://www.armscontrol.org
ARTE,Left-Center,Mostly Factual, https://www.arte.tv/
Asheville Citizen-Times,Left-Center,High, https://www.citizen-times.com/
Asian Correspondent,Left-Center,High, https://asiancorrespondent.com/
Aspen Institute,Left-Center,High, https://www.aspeninstitute.org/
Atavist Magazine,Left-Center,Very High, https://magazine.atavist.com/
Atlanta Black Star,Left-Center,High, https://atlantablackstar.com/
Atlanta Journal-Constitution,Left-Center,High, https://www.ajc.com/
Atlantic,Left-Center,High, https://www.theatlantic.com/
Atlantic Council,Left-Center,High, https://www.atlanticcouncil.org
Atlantic Media,Left-Center,High, https://www.atlanticmedia.com/
ATTN:,Left-Center,High, https://www.attn.com/
Austin American-Statesman,Left-Center,High, https://www.statesman.com/
Austin Daily Herald,Left-Center,High, https://www.austindailyherald.com/
AV Club,Left-Center,High, https://www.avclub.com/
Axios,Left-Center,High, https://www.axios.com/
BackChannel,Left-Center,High, https://backchannel.com/
Balkan Insight,Left-Center,High, https://balkaninsight.com/
Baltimore Sun,Left-Center,High, https://www.baltimoresun.com/
Bangor Daily News,Left-Center,High, https://bangordailynews.com/
Baptist News Global,Left-Center,High, https://baptistnews.com/
Battle Creek Enquirer,Left-Center,High, https://www.battlecreekenquirer.com
BBC News,Left-Center,High, https://www.bbc.com/news
Belfer Center for Science and International Affairs,Left-Center,High, https://www.belfercenter.org/
Bellingcat,Left-Center,High, https://www.bellingcat.com/
Bellingham Herald,Left-Center,High, https://www.bellinghamherald.com/
Berkeleyside,Left-Center,High, https://www.berkeleyside.com/
Berkshire Eagle,Left-Center,High, https://www.berkshireeagle.com/
Berliner Zeitung,Left-Center,Mostly Factual, https://www.berliner-zeitung.de/
Bing News,Left-Center,High, https://www.bing.com/news/
Birmingham Mail,Left-Center,Mostly Factual, https://www.birminghammail.co.uk
Bleacher Report,Left-Center,Mostly Factual, https://bleacherreport.com/
Bloomberg,Left-Center,Mostly Factual, https://www.bloomberg.com/
Bluestem Prairie,Left-Center,High, http://www.bluestemprairie.com/
Boston Globe,Left-Center,High, https://www.bostonglobe.com/
Boston.com,Left-Center,High, https://www.boston.com/
Boy Genius Report,Left-Center,High, bgr.com/
Brennan Center for Justice,Left-Center,High, https://www.brennancenter.org/
Bridge Michigan,Left-Center,High, https://www.bridgemi.com/
Brookings Institute,Left-Center,Very High, https://www.brookings.edu/
Buffalo News,Left-Center,High, https://www.buffalonews.com/
