name,polarity,factual,domain
100% Fed up,Questionable Sources,Low, https://100percentfedup.com/
10News.one,Questionable Sources,Low, https://www.10news.one/
12minutos.com,Questionable Sources,Low, http://www.12minutos.com/
24 News,Questionable Sources,Low, http://us24news.com
247 News Media,Questionable Sources,Very Low, http://247newsmedia.com/
2nd Amendment Daily News,Questionable Sources,Low, https://www.secondamendmentdaily.com/
3CCorp.net,Questionable Sources,Low, https://www.3ccorp.net/
A Voice for Men,Questionable Sources,Low, https://www.avoiceformen.com/
abcnews-us.com,Questionable Sources,Very Low, http://www.abcnews-us.com/
Acting Man,Questionable Sources,Mixed, https://acting-man.com/
Action News 3,Questionable Sources,Very Low, http://actionnews3.com
Activist Mommy/Elizabeth Johnston,Questionable Sources,Low, https://elizabethjohnston.org/
Adams County Times,Questionable Sources,Mixed, https://adamscountytimes.com/
Age of Shitlords,Questionable Sources,Low, https://ageofshitlords.com/
AjuaNews.com,Questionable Sources,Very Low, https://ajuanews.com/
Al Arabiya,Questionable Sources,Mixed, https://english.alarabiya.net/
Al Bawaba,Questionable Sources,Mixed, https://www.albawaba.com/
Al Manar,Questionable Sources,Mixed, https://english.almanar.com.lb
Al-Hayat,Questionable Sources,Mixed, http://www.alhayat.com/
Al-Masdar News,Questionable Sources,Mixed, https://www.almasdarnews.com
Albany Standard,Questionable Sources,Mixed, https://albanystandard.com/
All News Pipeline,Questionable Sources,Low, https://allnewspipeline.com/
Allen West Republic,Questionable Sources,Low, http://allenwestrepublic.com/
Alliance Defending Freedom,Questionable Sources,Low, https://www.adflegal.org/
Alpha News,Questionable Sources,Low, https://alphanewsmn.com/
Alt-Right TV,Questionable Sources,Low, altrighttv (dot) com
Amazingnews.net,Questionable Sources,Low, http://www.amazingnews.net/
America Daily,Questionable Sources,Mixed, https://americadaily.com/
America Max News,Questionable Sources,Low,
America Talks with David Zublick,Questionable Sources,Very Low, https://americatalks.com
America's News Source,Questionable Sources,Very Low, https://americasnewssource.com/
American Action News,Questionable Sources,Mixed, https://americanactionnews.com/
American College of Pediatricians,Questionable Sources,Mixed, https://www.acpeds.org/
American Conservative Media,Questionable Sources,Mixed, https://americanconservativemedia.com/
American Conservative Movement (ACM),Questionable Sources,Low,
American Family Association,Questionable Sources,Low, https://www.afa.net/
American Flavor News,Questionable Sources,Very Low, http://americanflavor.news/
American Journal Review,Questionable Sources,Low, http://www.americanjournalreview.com/
American Lookout,Questionable Sources,Low, https://americanlookout.com/
American Patriot Daily,Questionable Sources,Mixed, https://www.americanpatriotdaily.com/
American People Daily,Questionable Sources,Low, https://americanpeopledaily.com/
American People Network,Questionable Sources,Very Low, http://americanpeoplenetwork.com/
American Prides,Questionable Sources,Low, http://www.americanprides.org
American Principles Project,Questionable Sources,Low, https://americanprinciplesproject.org/
American Renaissance Magazine,Questionable Sources,Low, https://www.amren.com
"American Society for the Defense of Tradition, Family, and Property",Questionable Sources,Low, https://www.tfp.org/
American Thinker,Questionable Sources,Low, https://www.americanthinker.com
American Today,Questionable Sources,Low, http://americantoday.news/
American Truth Seekers,Questionable Sources,Low, http://americantruthseekers.com
American Truth Today,Questionable Sources,Low, https://americantruthtoday.com/
American Updater,Questionable Sources,Low, http://americanupdater.com/
American Web Media (AWM),Questionable Sources,Mixed, https://awm.com
Americans Against the Tea Party (AATTP),Questionable Sources,Low, http://aattp.org/
Americans Are Pissed,Questionable Sources,Low, https://www.americansarepissed.com/
Americans for Truth,Questionable Sources,Very Low, https://americansfortruth.com
Americas Freedom Fighters,Questionable Sources,Very Low, https://americasfreedomfighters.com
Analyzing America,Questionable Sources,Mixed, https://www.analyzingamerica.org/
anews-24 (American News),Questionable Sources,Very Low, http://anews-24.com/
Anonymous News,Questionable Sources,Mixed, https://www.anonews.co/
Antelope Valley Today,Questionable Sources,Mixed, https://antelopevalleytoday.com/
Arab News,Questionable Sources,Mixed, https://www.arabnews.com/
Archaeology World,Questionable Sources,Mixed, https://www.archaeology-world.com/
Association of American Physicians and Surgeons (AAPS),Questionable Sources,Low, https://aapsonline.org/
Athens Reporter,Questionable Sources,Mixed, https://athensreporter.com/
ATL Standard,Questionable Sources,Mixed, https://atlstandard.com/
Auburn Times,Questionable Sources,Mixed, https://auburntimes.com/
Backroom Buzz,Questionable Sources,Low, https://backroombuzz.com/
Baldwin Times,Questionable Sources,Mixed, https://baldwintimes.com/
Banned Information,Questionable Sources,Mixed, http://bannedinformation.com
Bare Naked Islam,Questionable Sources,Low, https://www.barenakedislam.com/
Basnews Agency,Questionable Sources,Mixed, http://www.basnews.com/
BB4SP,Questionable Sources,Low, http://bb4sp.com/
Bbarta24,Questionable Sources,Mixed, http://en.bbarta24.net/
BDNews24,Questionable Sources,Mixed, https://bdnews24.com/
BeAware,Questionable Sources,Low, http://www.beaware.one
Becker News,Questionable Sources,Low, https://beckernews.com/
Before It's News,Questionable Sources,Low, http://beforeitsnews.com/
Beijing Review,Questionable Sources,Mixed, http://www.bjreview.com/
Benton Times,Questionable Sources,Mixed, https://bentontimes.com/
Best Daily News,Questionable Sources,Low, http://bestdailynews.info/
Big Blue Vision,Questionable Sources,Low, http://bigbluevision.org/
Big League Politics,Questionable Sources,Low, https://bigleaguepolitics.com/
BillionBibles.org,Questionable Sources,Very Low, http://www.billionbibles.org
Bipartisan Report,Questionable Sources,Mixed, https://bipartisanreport.com
BitChute,Questionable Sources,Very Low, https://www.bitchute.com/
Black Eye Politics,Questionable Sources,Low, https://blackeyepolitics.com/
Black Genocide,Questionable Sources,Low, http://www.blackgenocide.org
Black Pigeon Speaks,Questionable Sources,Low, http://blackpigeonspeaks.com/
BlackNews.com,Questionable Sources,Mixed, https://www.blacknews.com/
Blingnews.com,Questionable Sources,Low, http://www.blingnews.com
Blue Dot Daily,Questionable Sources,Mixed, https://www.bluedotdaily.com
Blue Informer,Questionable Sources,Low, http://blueinformer.com
Blue Vision Post,Questionable Sources,Low, http://bluevisionpost.com/
BlueVision.News,Questionable Sources,Low, http://bluevision.news/
Blunt Force Truth,Questionable Sources,Low, https://bluntforcetruth.com
Bongino.com,Questionable Sources,Mixed, https://bongino.com
Borderland Alternative Media (BAM),Questionable Sources,Low, http://borderlandalternativemedia.com/
Bossip,Questionable Sources,Mixed, https://bossip.com/
Boulder Leader,Questionable Sources,Mixed, https://boulderleader.com/
Breaking Christian News,Questionable Sources,Low, https://www.breakingchristiannews.com/
Breaking First,Questionable Sources,Low, https://breakingfirst.com/
Breaking News House,Questionable Sources,Low, https://breakingnewshouse.com/
