name,polarity,factual,domain
1945 - 19fortyfive,Right-Center,Mostly Factual, https://www.19fortyfive.com/
71 Republic,Right-Center,High, https://71republic.com/
7NEWS,Right-Center,Mixed, https://7news.com.au/
9 News (Australia),Right-Center,High, https://www.9news.com.au/
ABC (Spain),Right-Center,High, www.abc.es
Advocates for Self-Government,Right-Center,Mostly Factual, https://www.theadvocates.org/
Ahram Online,Right-Center,Mixed, http://english.ahram.org.eg/
Al.com (Alabama News),Right-Center,High, https://www.al.com/
Albuquerque Journal,Right-Center,High, https://www.abqjournal.com/
American Action Forum,Right-Center,Mostly Factual, https://www.americanactionforum.org/
American Affairs Journal,Right-Center,High, https://americanaffairsjournal.org
American Council on Science and Health (ACSH),Right-Center,High, https://www.acsh.org
American Firearms Institute,Right-Center,High, http://www.americanfirearms.org
American Institute for Economic Research,Right-Center,Mixed, https://aier.org
Americas Quarterly,Right-Center,High, http://www.americasquarterly.org/
Anti-War,Right-Center,Mostly Factual, https://www.antiwar.com
ArcaMax,Right-Center,Mostly Factual, https://www.arcamax.com/
Arkansas Democrat-Gazette,Right-Center,High, https://www.arkansasonline.com/
Arutz Sheva (Israel National News),Right-Center,High, http://www.israelnationalnews.com/
Asian News International,Right-Center,Mixed, https://www.aninews.in
Ayn Rand Institute,Right-Center,Mixed, https://newideal.aynrand.org/
B.T. Denmark,Right-Center,Mostly Factual, https://www.bt.dk/
Being Libertarian,Right-Center,Mostly Factual, https://beinglibertarian.com/
Berlingske,Right-Center,Mostly Factual, https://www.berlingske.dk/
Bild,Right-Center,Mixed, https://www.bild.de/
Billings Gazette,Right-Center,High, https://billingsgazette.com/
Bipartisan Policy Center,Right-Center,Mostly Factual, https://bipartisanpolicy.org
Boston Herald,Right-Center,High, https://www.bostonherald.com/
Breaking Defense,Right-Center,High, https://breakingdefense.com/
Breakthrough Institute,Right-Center,High, https://thebreakthrough.org
BusinessLIVE,Right-Center,Mixed, https://www.businesslive.co.za
Calgary Herald,Right-Center,High, https://calgaryherald.com
California Globe,Right-Center,Mixed, https://californiaglobe.com/
California Political Review,Right-Center,Mostly Factual, http://www.capoliticalreview.com/
Campaign for Liberty,Right-Center,Mixed, http://campaignforliberty.org/
Canadian Jewish News,Right-Center,High, https://www.cjnews.com/
Canadian Taxpayers Federation,Right-Center,High, https://www.taxpayer.com/
Capitalism Magazine,Right-Center,Mostly Factual, https://www.capitalismmagazine.com/
Cato Institute,Right-Center,High, https://www.cato.org/
CCN Markets,Right-Center,High, https://www.ccn.com
Center for the National Interest,Right-Center,High, http://cftni.org/
Check Your Fact,Right-Center,High, https://checkyourfact.com/
Chicago Tribune,Right-Center,High, https://www.chicagotribune.com/
China Digital Times,Right-Center,Mostly Factual, https://chinadigitaltimes.net/
Christianity Today,Right-Center,High, https://www.christianitytoday.com/
Circa News,Right-Center,High, http://circa.com/
Colorado Springs Gazette,Right-Center,High, https://gazette.com/
Columbia Daily Herald,Right-Center,High, https://www.columbiadailyherald.com/
Committee for a Responsible Federal Buddget,Right-Center,Very High, http://crfb.org/
Conservative Home,Right-Center,High, https://www.conservativehome.com/
Daily Herald,Right-Center,High, https://www.dailyherald.com/
Daily Mining Gazette,Right-Center,High, https://www.mininggazette.com/
Daily Press,Right-Center,High, https://www.dailypress.com/
DailyO,Right-Center,Mixed, https://www.dailyo.in
Dallas Morning News,Right-Center,High, http://www.dallasnews.com/
de Volkskrant,Right-Center,High, https://www.volkskrant.nl/
Deccan Chronicle,Right-Center,Mostly Factual, https://www.deccanchronicle.com/
Denver Gazette,Right-Center,High, https://denvergazette.com/
Deseret News,Right-Center,High, https://www.deseret.com
Desert Sun,Right-Center,High, http://www.desertsun.com/
Detroit News,Right-Center,High, https://www.detroitnews.com/
Deutschland.de,Right-Center,Mostly Factual, https://www.deutschland.de/
Die Presse,Right-Center,High, https://www.diepresse.com/
Die Welt,Right-Center,High, https://www.welt.de/
Downsizing the Federal Government,Right-Center,High, https://www.downsizinggovernment.org
Drudge Report,Right-Center,Mixed, https://www.drudgereport.com/
Ecuavisa,Right-Center,Mixed, https://www.ecuavisa.com/
Edmonton Examiner,Right-Center,Mostly Factual, https://www.edmontonexaminer.com/
Edmonton Journal,Right-Center,High, https://edmontonjournal.com
Edmonton Sun,Right-Center,High, https://edmontonsun.com/
El Mundo,Right-Center,Mostly Factual, https://www.elmundo.es/
Entrepreneur Magazine,Right-Center,High, https://www.entrepreneur.com/
Ethics and Public Policy Center (EPPC),Right-Center,High, https://eppc.org/
Ethnikos Kyrix,Right-Center,Mixed, https://www.ekirikas.com/
Expressen,Right-Center,Mostly Factual, https://www.expressen.se/
Faith Family America,Right-Center,High, http://www.faithfamilyamerica.com
FDD's Long War Journal,Right-Center,High, https://www.longwarjournal.org
Financial Express,Right-Center,Mixed, https://www.financialexpress.com/
Financial Post,Right-Center,Mostly Factual, https://business.financialpost.com/
First Post,Right-Center,Mostly Factual, https://www.firstpost.com/
Fitch Ratings,Right-Center,High, https://www.fitchratings.com/
FitsNews,Right-Center,Mostly Factual, https://www.fitsnews.com/
Forbes,Right-Center,Mostly Factual, https://www.forbes.com
Foreign Policy Research Institute,Right-Center,High, https://www.fpri.org/
Fort Worth Star-Telegram,Right-Center,High, https://www.star-telegram.com/
Fortnightly Review,Right-Center,High, http://fortnightlyreview.co.uk/
Fortune Magazine,Right-Center,High, http://fortune.com/
Foundation for Economic Education,Right-Center,Mixed, https://fee.org/
Fox Business,Right-Center,Mostly Factual, https://www.foxbusiness.com/
Frankfurter Allgemeine Zeitung (FAZ),Right-Center,High, https://www.faz.net/aktuell/
Franklin News Foundation,Right-Center,Mixed, https://www.franklinnews.org/
Fraser Institute,Right-Center,Mixed, https://www.fraserinstitute.org/
Freedom Alliance,Right-Center,High, https://freedomalliance.org
Freedom House,Right-Center,High, https://freedomhouse.org/
Goteborgs-Posten,Right-Center,Mostly Factual, https://www.gp.se/
Grand Rapids Press,Right-Center,High, http://www.mlive.com/grand-rapids/#/0
Guns.com,Right-Center,High, https://www.guns.com/
Herald Sun (AUS),Right-Center,Mostly Factual, https://www.heraldsun.com.au/
Het Laatste Nieuws (HLN),Right-Center,Mostly Factual, https://www.hln.be/
Heterodox Academy,Right-Center,High, https://heterodoxacademy.org
Hi-Desert Star,Right-Center,High, https://hidesertstar.com/
High Point Enterprise,Right-Center,High, https://hpenews.com/
Hindu Business Line,Right-Center,Mixed, http://www.thehindubusinessline.com/
Honest Reporting,Right-Center,Mostly Factual, https://honestreporting.com/
Hoover Institution,Right-Center,High, https://www.hoover.org/
Human Progress,Right-Center,Mostly Factual, http://humanprogress.org/
Idaho State Journal,Right-Center,High, https://www.idahostatejournal.com/
iefimerida.gr,Right-Center,Mixed, https://www.iefimerida.gr/
