name,polarity,factual,domain
21st Century Wire,Conspiracy-Pseudoscience,Mixed, https://21stcenturywire.com/
369 News,Conspiracy-Pseudoscience,Mixed, https://369news.net/
79Days.News,Conspiracy-Pseudoscience,Very Low, https://79days.news/
911Truth.org,Conspiracy-Pseudoscience,Low, https://911truth.org/
A Sheep No More,Conspiracy-Pseudoscience,Low, http://asheepnomore.net/
Abel Danger,Conspiracy-Pseudoscience,Mixed, http://www.abeldanger.org/
Above Top Secret,Conspiracy-Pseudoscience,Low, http://www.abovetopsecret.com/
ACN Latitudes,Conspiracy-Pseudoscience,Mixed, https://latitudes.org/
Activist Post,Conspiracy-Pseudoscience,Low, https://www.activistpost.com/
ADDitude Magazine,Conspiracy-Pseudoscience,Mixed, https://www.additudemag.com/
Age of Autism,Conspiracy-Pseudoscience,Low, https://www.ageofautism.com
Alliance for Advanced Health,Conspiracy-Pseudoscience,Mixed, https://allianceforadvancedhealth.com
Alliance for Natural Health (ANH-USA),Conspiracy-Pseudoscience,Mixed, https://anh-usa.org
Alt-Market,Conspiracy-Pseudoscience,Mixed, http://alt-market.com/
Alternative Media Television (AMTV),Conspiracy-Pseudoscience,Low, https://www.amtvmedia.com/
Alternative News Network,Conspiracy-Pseudoscience,Mixed, http://www.alternativenewsnetwork.net/
AlternativeNews.com,Conspiracy-Pseudoscience,Low, https://alternativenews.com/
AltHealth Works,Conspiracy-Pseudoscience,Low, https://althealthworks.com/
America's Frontline Doctors,Conspiracy-Pseudoscience,Low, https://www.americasfrontlinedoctors.com/
American Digital News,Conspiracy-Pseudoscience,Mixed, https://americandigitalnews.com
American Free Press,Conspiracy-Pseudoscience,Low, https://americanfreepress.net/
American Herald Tribune,Conspiracy-Pseudoscience,Mixed, https://ahtribune.com/
American Intelligence Media,Conspiracy-Pseudoscience,Mixed, https://aim4truth.org
American Intelligence Report,Conspiracy-Pseudoscience,Mixed, http://americanintelligencereport.com/
American Policy Center,Conspiracy-Pseudoscience,Low, https://americanpolicy.org/
Ancient Code,Conspiracy-Pseudoscience,Mixed, https://www.ancient-code.com
Ancient Origins,Conspiracy-Pseudoscience,Mixed, https://www.ancient-origins.net
Anewspost.com,Conspiracy-Pseudoscience,Mixed, https://anewspost.com/
Answers in Genesis,Conspiracy-Pseudoscience,Low, https://answersingenesis.org/
Apost.com,Conspiracy-Pseudoscience,Mixed, https://www.apost.com/
Architects & Engineers for 9/11 Truth,Conspiracy-Pseudoscience,Mixed, https://www.ae911truth.org
Asia-Pacific Research,Conspiracy-Pseudoscience,Mixed, https://www.asia-pacificresearch.com/
AskingAngels,Conspiracy-Pseudoscience,Very Low, http://askingangels.com/
Assassination Science,Conspiracy-Pseudoscience,Low, http://assassinationscience.com/
Australian National Review,Conspiracy-Pseudoscience,Low, https://australiannationalreview.com/
Autism Speaks,Conspiracy-Pseudoscience,Mixed, https://www.autismspeaks.org/
Awareness Act,Conspiracy-Pseudoscience,Low, http://awarenessact.com/
Awd News,Conspiracy-Pseudoscience,Mixed, http://awdnews.com/
Banned.Video,Conspiracy-Pseudoscience,Very Low, https://banned.video/
Behold Israel,Conspiracy-Pseudoscience,Mixed, https://beholdisrael.org/
Big Government News,Conspiracy-Pseudoscience,Very Low, https://biggovernment.news/index.html
BioDefense,Conspiracy-Pseudoscience,Very Low, https://biodefense.com/
Biologos Foundation,Conspiracy-Pseudoscience,Mixed, https://biologos.org/
Blacklisted News,Conspiracy-Pseudoscience,Mixed, https://www.blacklistednews.com/
Brand New Tube,Conspiracy-Pseudoscience,Very Low, https://brandnewtube.com/
Brighteon,Conspiracy-Pseudoscience,Very Low, https://www.brighteon.com/
BrightSide,Conspiracy-Pseudoscience,Mixed, https://brightside.me/
Bugout.news,Conspiracy-Pseudoscience,Very Low, https://bugout.news/#
CampusInsanity.com,Conspiracy-Pseudoscience,Very Low, https://campusinsanity.com/
