name,polarity,factual,domain
ACHNews,Left,Mostly Factual, https://achnews.org/
Act.TV,Left,Mostly Factual,http://act.tv
Addicting Info,Left,Mixed,http://addictinginfo.com
Aftonbladet,Left,Mixed, https://www.aftonbladet.se
Akkadian Times,Left,High,http://akkadiantimes.com
Al DIA,Left,Mixed, https://aldianews.com
All That's Fab,Left,Mixed,http://www.allthatsfab.com/
Alliance for Justice (AFJ),Left,High,https://www.afj.org/
Alternet,Left,Mixed, https://www.alternet.org/
Amandla,Left,High,http://aidc.org.za/amandla-media/
America Blog,Left,High,http://americablog.com/
America's Voice,Left,Mostly Factual, https://americasvoice.org/
American Bridge 21st Century,Left,Mixed,https://americanbridgepac.org/
Americans United for Separation of Church and State,Left,High, https://www.au.org/
Angry White Men,Left,Mixed,https://angrywhitemen.org
Anti-Fascist News,Left,High,https://antifascistnews.net/
ANX News (American News X),Left,Mixed, http://anx.media/
Attack the System,Left,Mixed, https://attackthesystem.com/
AutoStraddle,Left,High,https://www.autostraddle.com/
Baltimore City Paper,Left,Mixed, https://www.baltimoresun.com/citypaper/
Bay Area Reporter,Left,High,https://www.ebar.com/
Being Liberal,Left,Mixed, https://www.facebook.com/pg/beingliberal.org
BillMoyers.com,Left,Mostly Factual, https://billmoyers.com/
Bitch Media,Left,High,https://bitchmedia.org/
Black Agenda Report,Left,Mostly Factual, https://blackagendareport.com/
Black America Web,Left,Mostly Factual, https://blackamericaweb.com/
Black Lives Matter,Left,Mixed, https://blacklivesmatter.com
Black Main Street,Left,Mostly Factual, https://blackmainstreet.net/
Blue Nation Review,Left,Mixed,http://bluenationreview.com/
Blue State Daily,Left,Mixed,https://bluestatedaily.com
BoingBoing,Left,Mixed, https://boingboing.net
Boston Review,Left,High,http://bostonreview.net
Breitbart Unmasked,Left,Mixed,http://www.breitbartunmasked.com/
Bust Magazine,Left,Mostly Factual, https://bust.com
Call to Activism,Left,Mostly Factual, https://www.calltoactivism.com/
Canada Fact Check,Left,Mostly Factual, https://canadafactcheck.ca
Canadian Dimension,Left,Mostly Factual,https://canadiandimension.com/
Capital & Main,Left,High,https://capitalandmain.com
Carbonated TV,Left,High,http://www.carbonated.tv/
Care2,Left,Mixed,https://www.care2.com
Ceasefire Magazine,Left,High, https://ceasefiremagazine.co.uk/
Center for a Stateless Society,Left,High,https://c4ss.org/
Center for American Progress,Left,Mostly Factual,https://www.americanprogress.org/
Center for Media and Democracy,Left,High, https://www.prwatch.org/
Change.org,Left,High,https://www.change.org/
Chicago Reader,Left,High,https://www.chicagoreader.com/
Chicago Reporter,Left,High, https://www.chicagoreporter.com/
China Internet Information Center,Left,Mixed, http://www.china.org.cn/
Chronicles of Democracy,Left,High,https://www.chroniclesofdemocracy.com/
Citizen Critics,Left,High,https://citizencritics.org
CNN,Left,Mixed, https://www.cnn.com/
Code Pink,Left,Mixed, https://www.codepink.org
ColorLines,Left,High, https://www.colorlines.com
