name,polarity,factual,domain
Air and Space Mag,Pro-Science,Very High, https://www.airspacemag.com/
American Academy of Pediatrics,Pro-Science,Very High, https://www.aap.org/
American association for the advancement of science.,Pro-Science,Very High, https://www.aaas.org
American Geophysical Union (AGU),Pro-Science,Very High, http://sites.agu.org/
American Institute of of Physics,Pro-Science,Very High, https://www.aip.org/
American Journal of Archaeology,Pro-Science,Very High, https://www.ajaonline.org/
American Lung Association,Pro-Science,High, https://www.lung.org/
American Medical Association (AMA),Pro-Science,High, https://www.ama-assn.org/
American Physical Society (APS),Pro-Science,Very High, https://www.aps.org/
American Psychoanalytic Association,Pro-Science,Very High, http://www.apsa.org/
American Psychological Association,Pro-Science,Very High, https://www.apa.org/
American Scientist,Pro-Science,Very High, https://www.americanscientist.org/
Anxiety and Depression Association of America (ADAA),Pro-Science,Very High, https://www.adaa.org/
Archaeology Magazine,Pro-Science,High, https://www.archaeology.org/
Astronomy Magazine,Pro-Science,Very High, http://www.astronomy.com/
Australian Skeptics Inc.,Pro-Science,High, https://www.skeptics.com.au/
Autistic Self Advocacy Network (ASAN),Pro-Science,Very High, http://autisticadvocacy.org/
BioMedical Central (BMC),Pro-Science,Very High, https://www.biomedcentral.com
BioSpace,Pro-Science,High, https://www.biospace.com/
Biotechnology Innovation Organization (BIO),Pro-Science,Very High, https://www.bio.org
Carbon Brief,Pro-Science,High, https://www.carbonbrief.org/
Centers for Disease Control (CDC),Pro-Science,Very High, https://www.cdc.gov/
Climate Action Tracker,Pro-Science,Very High, https://climateactiontracker.org/
Climate Central,Pro-Science,High, https://www.climatecentral.org/
Climate Feedback,Pro-Science,Very High, https://climatefeedback.org/
Climate Science & Policy Watch (CSPW),Pro-Science,High, http://www.climatesciencewatch.org
Cochrane,Pro-Science,Very High, http://www.cochrane.org/
Committee for Skeptical Inquiry,Pro-Science,Very High, http://www.csicop.org/
ConsumerLab.com,Pro-Science,High, https://www.consumerlab.com/
Contrail Science,Pro-Science,Very High, http://contrailscience.com/
Cosmos Magazine,Pro-Science,Very High, https://cosmosmagazine.com/
Disability Scoop,Pro-Science,High, https://www.disabilityscoop.com/
Discover Magazine,Pro-Science,High, https://www.discovermagazine.com/
Doubtful News,Pro-Science,Very High, http://doubtfulnews.com/
Drugs.com,Pro-Science,Very High, https://www.drugs.com/
Earth & Sky,Pro-Science,Very High, http://earthsky.org/
Earth Magazine,Pro-Science,Very High, https://www.earthmagazine.org/
Edge Foundation,Pro-Science,Very High, https://www.edge.org/
Encyclopedia Britannica,Pro-Science,High, https://www.britannica.com/
EurekaAlert,Pro-Science,Very High, https://www.eurekalert.org
Everyday Health,Pro-Science,High, https://www.everydayhealth.com
Examine.com,Pro-Science,Very High, https://examine.com
Federation of American Scientists,Pro-Science,High, https://fas.org/
Frontiers,Pro-Science,Mixed, https://www.frontiersin.org/
Frontiers in Psychology,Pro-Science,High, https://www.frontiersin.org/journals/psychology#
Futurism,Pro-Science,High, https://futurism.com/
Genetic Engineering and Biotechnology News (GEN),Pro-Science,Very High, https://www.genengnews.com
Genetic Literacy Project,Pro-Science,High, https://www.geneticliteracyproject.org/
Healio,Pro-Science,High, https://www.healio.com/
