name,polarity,factual,domain
2ndVote,Right,Mixed, https://2ndvote.com/
Abort73,Right,Mixed, https://abort73.com
Acculturated,Right,Mostly Factual, https://acculturated.com
Accuracy in Academia (AIA),Right,Mixed, https://www.academia.org
Accuracy in Media,Right,Mixed, https://www.aim.org
Against Crony Capitalism,Right,Mostly Factual, https://www.ac2news.com
Alberta Press Leader,Right,Mixed, https://albertapressleader.ca/
AltNewsMedia.net,Right,Mixed, https://altnewsmedia.net
AMAC (Association of Mature American Citizens),Right,Mixed, https://amac.us/
America Rising PAC,Right,Mixed, https://americarisingpac.org/
American Center for Law & Justice (ACLJ),Right,Mixed, https://aclj.org/
American Consequences,Right,Mixed, https://americanconsequences.com
American Enterprise Institute,Right,Mixed, https://www.aei.org/
American for Prosperity,Right,Mixed, https://americansforprosperity.org/
American Foreign Policy council,Right,Mostly Factual, https://www.afpc.org/
American Greatness,Right,Mixed, https://amgreatness.com
American Legislative Exchange Council (ALEC),Right,Mixed, https://www.alec.org
American Liberty Report,Right,Mixed, https://www.americanlibertyreport.com/
American News 24/7,Right,Mixed, https://www.americandailynews.org/
American Spectator,Right,Mixed, https://spectator.org/
Ami Magazine,Right,Mostly Factual, http://www.amimagazine.org/
Ammoland,Right,Mostly Factual, https://www.ammoland.com
Anadolu Agency,Right,Mixed, https://www.aa.com.tr/en
Arizona Daily Independent,Right,Mixed, https://arizonadailyindependent.com
Armstrong Economics,Right,Mixed, https://www.armstrongeconomics.com
AsianNews.it,Right,Mixed, http://www.asianews.it/en.html
Assyrian International News Agency,Right,Mixed, http://www.aina.org/
Axiom News Network,Right,Mixed, http://axiomnewsnetwork.com
Bearing Arms,Right,Mixed, https://bearingarms.com/
Beliefnet,Right,Mixed, http://www.beliefnet.com
BizPac Review,Right,Mixed, https://www.bizpacreview.com
Blabber Buzz,Right,Mixed, https://www.blabber.buzz
Blue Lives Matter (Police Tribune),Right,Mixed, https://policetribune.com/
Bounding Into Comics,Right,Mixed, https://boundingintocomics.com
BrexitCentral,Right,Mixed, https://brexitcentral.com/
Buzzsaw Politics,Right,Mostly Factual, https://buzzsawpolitics.com/
C2C Journal,Right,Mostly Factual,  https://c2cjournal.ca/
Calgary Sun,Right,Mostly Factual, https://calgarysun.com/
Cambridge Analytica,Right,Mixed, https://ca-political.com
Campaign Life Coalition,Right,Mixed, https://www.campaignlifecoalition.com/
Campus Reform,Right,Mixed, https://www.campusreform.org
Capital Research Center,Right,Mixed, https://capitalresearch.org/
Center of the American Experiment,Right,Mixed,
Chicks on the Right,Right,Mixed, https://www.chicksonright.com/
Christian Coalition of America,Right,Mixed, http://www.cc.org
Christian Headlines,Right,Mixed, https://www.christianheadlines.com/
Christian News Alerts,Right,Mixed, https://www.christiannewsalerts.com
Christian Post,Right,Mixed, https://www.christianpost.com/
Christian Today,Right,Mixed, https://www.christiantoday.com/
Chronicles Magazine,Right,Mixed, https://www.chroniclesmagazine.org/
Citizen Free Press,Right,Mixed, https://www.citizenfreepress.com
Citizens United,Right,Mixed, http://citizensunited.org/index.aspx
City Journal,Right,Mostly Factual, https://www.city-journal.org
Citzens Against Government Waste (CAGW),Right,Mostly Factual, https://www.cagw.org/
Civitas Institute,Right,Mixed, https://www.nccivitas.org/
Claremont Institute,Right,Mixed, https://www.claremont.org
Cold Dead Hands,Right,Mixed, http://www.colddeadhands.us/
Commentary Magazine,Right,Mostly Factual, https://www.commentarymagazine.com/
Communities Digital News,Right,Mixed, http://www.commdiginews.com/
Conservative Base,Right,Mixed, https://conservativebase.com/
Conservative HQ,Right,Mixed, http://www.conservativehq.com/
Conservative Institute,Right,Mostly Factual, https://www.conservativeinstitute.org
Conservative Opinion,Right,Mixed, https://conservativeopinion.com/
Conservative Review,Right,Mixed, https://www.conservativereview.com/
Conservative Today,Right,Mixed, https://conservativetoday.com
Cowger Nation,Right,Mixed, http://cowgernation.com/
Crime Prevention Research Center,Right,Mixed, https://crimeresearch.org/
Crisis Magazine,Right,Mixed, https://www.crisismagazine.com/
CSC Mediagroup USA,Right,Mixed, http://www.cscmediagroupus.com/
Daily Caller,Right,Mixed, https://dailycaller.com
Daily Express,Right,Mixed, https://www.express.co.uk/
Daily Liberator,Right,Mixed, https://www.thedailyliberator.com/
Daily Reckoning,Right,Mixed, https://dailyreckoning.com/
Daily Signal,Right,Mostly Factual, https://www.dailysignal.com/
Daily Telegraph (UK),Right,Mixed, https://www.telegraph.co.uk
Daily Torch,Right,Mostly Factual, http://dailytorch.com/
Dangerous,Right,Mixed, https://www.dangerous.com
DC Statesman,Right,Mixed, http://www.dcstatesman.com/
DC Whispers,Right,Mixed, http://dcwhispers.com/
De Telegraaf,Right,Mixed, https://www.telegraaf.nl/
Debate Post,Right,High, http://debatepost.com/
Deplorables Report,Right,Mixed, https://deplorablesreport.com
Disrn,Right,Mixed, https://disrn.com/
DML News,Right,Mixed, https://dmlnews.com/
Eagle PAC,Right,Mixed, eagleactionreport.com
EconomicPolicyJournal.com,Right,High, http://www.economicpolicyjournal.com
Egypt Today,Right,Mixed, https://www.egypttoday.com
Energy Citizens,Right,Mixed, https://energycitizens.org/
Ethics & Religious Liberty Commission,Right,Mixed, http://erlc.com/
Facts and Logic about the Middle East,Right,Mixed, http://factsandlogic.org/
FaithWire,Right,Mixed, https://www.faithwire.com
Fake Hate Crimes,Right,Mixed, http://fakehatecrimes.org
Family Security Matters,Right,Mixed, http://www.familysecuritymatters.org/
Far Left Watch,Right,Mixed, https://farleftwatch.com
Federalist Press,Right,Mixed, http://federalistpress.com/
Federalist Society,Right,Mixed, https://fedsoc.org/
First in Freedom Daily,Right,Mixed, http://firstinfreedomdaily.com/
First Things Magazine,Right,Mixed, https://www.firstthings.com
Foundation for Defense of Democracies,Right,High, http://www.defenddemocracy.org
Fox News,Right,Mixed, https://www.foxnews.com/
Free Republic,Right,Mixed, http://www.freerepublic.com
Freedom Cross Roads,Right,Mixed, http://freedomcrossroads.com/
FreedomWorks,Right,Mixed, http://www.freedomworks.org/
Frontiers of Freedom,Right,Mixed, https://www.ff.org
Future in America,Right,Mixed, https://ourfutureinamerica.org/
Get Religion,Right,Mixed, https://www.getreligion.org/
GOPUSA,Right,Mixed, http://www.gopusa.com/
Government Accountablity Institute,Right,Mixed, http://www.g-a-i.org/
